analysis_group,group_value,model,condition,accuracy,precision_macro,recall_macro,f1_macro,unknown_rate,n_examples
domain,business,flan_t5_large,guided,0.4827586206896552,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.3448275862068966,29
domain,business,qwen2_5_0_5b_instruct,dynamic_few_shot,0.5172413793103449,0.4444444444444444,0.43333333333333335,0.42777777777777776,0.20689655172413793,29
domain,business,qwen2_5_0_5b_instruct,guided,0.3448275862068966,0.21078431372549017,0.25,0.21960784313725487,0.06896551724137931,29
domain,daily_life,flan_t5_large,guided,0.6511627906976745,0.5461309523809524,0.5476190476190476,0.5398732220160791,0.23255813953488372,86
domain,daily_life,qwen2_5_0_5b_instruct,dynamic_few_shot,0.6046511627906976,0.5986111111111112,0.548888888888889,0.5338888888888889,0.09302325581395349,86
domain,daily_life,qwen2_5_0_5b_instruct,guided,0.45348837209302323,0.426775956284153,0.3885245901639344,0.38536299765807963,0.046511627906976744,86
domain,general,flan_t5_large,guided,0.533026113671275,0.5950220057720057,0.5271944444444445,0.526794907467609,0.3425499231950845,651
domain,general,qwen2_5_0_5b_instruct,dynamic_few_shot,0.5913978494623656,0.6567177560847419,0.5651540154015401,0.5639310244772648,0.10291858678955453,651
domain,general,qwen2_5_0_5b_instruct,guided,0.3870967741935484,0.4839304212426107,0.38015476190476183,0.36049179872967274,0.05222734254992319,651
domain,legal,flan_t5_large,guided,0.6976744186046512,0.5454545454545454,0.5656565656565656,0.5515151515151515,0.20930232558139536,43
domain,legal,qwen2_5_0_5b_instruct,dynamic_few_shot,0.6744186046511628,0.5810185185185185,0.6018518518518517,0.5821428571428571,0.09302325581395349,43
domain,legal,qwen2_5_0_5b_instruct,guided,0.4883720930232558,0.3306306306306306,0.36936936936936937,0.33230373230373234,0.13953488372093023,43
domain,news_politics,flan_t5_large,guided,0.5454545454545454,0.5838888888888889,0.601111111111111,0.5714285714285714,0.2636363636363636,110
domain,news_politics,qwen2_5_0_5b_instruct,dynamic_few_shot,0.6181818181818182,0.5323383084577115,0.5206467661691542,0.5147121535181236,0.10909090909090909,110
domain,news_politics,qwen2_5_0_5b_instruct,guided,0.45454545454545453,0.3768018018018018,0.38333333333333336,0.36220011220011217,0.03636363636363636,110
domain,science_medical,flan_t5_large,guided,0.4166666666666667,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.4166666666666667,12
domain,science_medical,qwen2_5_0_5b_instruct,dynamic_few_shot,0.25,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.08333333333333333,12
domain,science_medical,qwen2_5_0_5b_instruct,guided,0.4166666666666667,0.3,0.3333333333333333,0.3111111111111111,0.0,12
domain,sports,flan_t5_large,guided,0.6666666666666666,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.23809523809523808,21
domain,sports,qwen2_5_0_5b_instruct,dynamic_few_shot,0.47619047619047616,0.2727272727272727,0.2424242424242424,0.25344352617079885,0.09523809523809523,21
domain,sports,qwen2_5_0_5b_instruct,guided,0.23809523809523808,0.12,0.1,0.10666666666666666,0.14285714285714285,21
is_ambiguous_lu,False,flan_t5_large,guided,0.636215334420881,0.6405506993006993,0.517594246031746,0.5385447337283049,0.26753670473083196,613
is_ambiguous_lu,False,qwen2_5_0_5b_instruct,dynamic_few_shot,0.5970636215334421,0.5893954236724613,0.44019660894660895,0.4662790853520289,0.10440456769983687,613
is_ambiguous_lu,False,qwen2_5_0_5b_instruct,guided,0.40456769983686786,0.44961435287522244,0.2876811594202898,0.2969283704503917,0.06199021207177814,613
is_ambiguous_lu,True,flan_t5_large,guided,0.40117994100294985,0.37593741280766335,0.28724386724386725,0.2956896013710556,0.40412979351032446,339
is_ambiguous_lu,True,qwen2_5_0_5b_instruct,dynamic_few_shot,0.5781710914454278,0.4589670279968787,0.33383084577114425,0.3555561694488811,0.10619469026548672,339
is_ambiguous_lu,True,qwen2_5_0_5b_instruct,guided,0.3952802359882006,0.3285960181793515,0.22665895061728392,0.2442989364438808,0.04424778761061947,339
is_long_context,False,flan_t5_large,guided,0.5318559556786704,0.5707423687423687,0.5498373015873015,0.5366310395830519,0.3185595567867036,361
is_long_context,False,qwen2_5_0_5b_instruct,dynamic_few_shot,0.6592797783933518,0.6650952380952382,0.6282142857142857,0.6025146242646242,0.08587257617728532,361
is_long_context,False,qwen2_5_0_5b_instruct,guided,0.4155124653739612,0.43230050505050505,0.3993015873015873,0.3629098897318711,0.04709141274238227,361
is_long_context,True,flan_t5_large,guided,0.5651438240270727,0.5897279273014567,0.52325,0.5205923986574141,0.3147208121827411,591
is_long_context,True,qwen2_5_0_5b_instruct,dynamic_few_shot,0.5482233502538071,0.655120857699805,0.5520357142857142,0.5429750353068039,0.116751269035533,591
is_long_context,True,qwen2_5_0_5b_instruct,guided,0.3925549915397631,0.496438133503923,0.4091230158730159,0.3778499901608421,0.06091370558375635,591
