sentence,lexical_unit,gold_frame,frame_definition,domain,sentence_length,is_long_context,is_ambiguous_lu,hard_negative_frames
"The bank has abandoned all plans to finance roads or logging in Cameroon 's forests , in keeping with its ` stringent policy to protect the rights of indigenous people . """,abandon,Abandonment,An Agent leaves behind a Theme effectively rendering it no longer within their control or of the normal security as one's property. 'Carolyn abandoned her car and jumped on a red double decker bus.' 'Perhaps he left the key in the ignition' 'Abandonment of a child is considered to be a serious crime in many jurisdictions.' There are also metaphorically used examples: 'She left her old ways behind .',business,32,True,True,Activity_stop|Quitting_a_place
"Jamie Hill , prosecuting , said Stevenson and a friend took a Nova car from North Skelton and abandoned it in Nottingham .",abandon,Abandonment,An Agent leaves behind a Theme effectively rendering it no longer within their control or of the normal security as one's property. 'Carolyn abandoned her car and jumped on a red double decker bus.' 'Perhaps he left the key in the ignition' 'Abandonment of a child is considered to be a serious crime in many jurisdictions.' There are also metaphorically used examples: 'She left her old ways behind .',daily_life,23,True,True,Activity_stop|Quitting_a_place
"She had seen no reason to abandon it when she came to Medewich two years ago , even though she might now have been able to afford a car .",abandon,Abandonment,An Agent leaves behind a Theme effectively rendering it no longer within their control or of the normal security as one's property. 'Carolyn abandoned her car and jumped on a red double decker bus.' 'Perhaps he left the key in the ignition' 'Abandonment of a child is considered to be a serious crime in many jurisdictions.' There are also metaphorically used examples: 'She left her old ways behind .',daily_life,30,True,True,Activity_stop|Quitting_a_place
"Unfortunately , as a result of other priorities following the fall of France in June 1940 , the project was abandoned .",abandon,Abandonment,An Agent leaves behind a Theme effectively rendering it no longer within their control or of the normal security as one's property. 'Carolyn abandoned her car and jumped on a red double decker bus.' 'Perhaps he left the key in the ignition' 'Abandonment of a child is considered to be a serious crime in many jurisdictions.' There are also metaphorically used examples: 'She left her old ways behind .',general,22,True,True,Activity_stop|Quitting_a_place
"Moved to rectify this situation , he abandoned plans of working in the missionary field , and offered his services to the Netherlands Indies civil service .",abandon,Abandonment,An Agent leaves behind a Theme effectively rendering it no longer within their control or of the normal security as one's property. 'Carolyn abandoned her car and jumped on a red double decker bus.' 'Perhaps he left the key in the ignition' 'Abandonment of a child is considered to be a serious crime in many jurisdictions.' There are also metaphorically used examples: 'She left her old ways behind .',general,27,True,True,Activity_stop|Quitting_a_place
"The council later abandoned its plans to widen the highway and the reversion passed to the first defendants , who were not a highway authority .",abandon,Abandonment,An Agent leaves behind a Theme effectively rendering it no longer within their control or of the normal security as one's property. 'Carolyn abandoned her car and jumped on a red double decker bus.' 'Perhaps he left the key in the ignition' 'Abandonment of a child is considered to be a serious crime in many jurisdictions.' There are also metaphorically used examples: 'She left her old ways behind .',news_politics,26,True,True,Activity_stop|Quitting_a_place
It was Osman 's father Mohamed who had returned in his car for the clothes for Mrs Zamzam 's children just before Um Al-Farajh was finally abandoned by the Palestinian Arabs in 1948 .,abandon,Abandonment,An Agent leaves behind a Theme effectively rendering it no longer within their control or of the normal security as one's property. 'Carolyn abandoned her car and jumped on a red double decker bus.' 'Perhaps he left the key in the ignition' 'Abandonment of a child is considered to be a serious crime in many jurisdictions.' There are also metaphorically used examples: 'She left her old ways behind .',daily_life,34,True,True,Activity_stop|Quitting_a_place
"Lola is waiting loyally , if not faithfully , for the lover , Michel ( Jacques Harden ) , who fathered her child and abandoned her seven years before .",abandon,Abandonment,An Agent leaves behind a Theme effectively rendering it no longer within their control or of the normal security as one's property. 'Carolyn abandoned her car and jumped on a red double decker bus.' 'Perhaps he left the key in the ignition' 'Abandonment of a child is considered to be a serious crime in many jurisdictions.' There are also metaphorically used examples: 'She left her old ways behind .',general,30,True,True,Activity_stop|Quitting_a_place
"A pistol was found in a garden at Ava Parade , off Ormeau Road , by police searching the area yesterday after a car was abandoned by two men .",abandon,Abandonment,An Agent leaves behind a Theme effectively rendering it no longer within their control or of the normal security as one's property. 'Carolyn abandoned her car and jumped on a red double decker bus.' 'Perhaps he left the key in the ignition' 'Abandonment of a child is considered to be a serious crime in many jurisdictions.' There are also metaphorically used examples: 'She left her old ways behind .',legal,30,True,True,Activity_stop|Quitting_a_place
"This is a modern version of the Elizabethan ` City "" comedy , a panorama of town life , teeming with villains , mugs , lechers and madmen .",teem,Abounding_with,"A Location is filled or covered with the Theme. The Location is realized as the External Argument, and the Theme either as PP complement headed by with, in or of. NB: This frame does not include uses of adjectives like paved when they merely specify the Type of some location, as in ""paved and unpaved roads"". 'The waters of the bay teemed with fish.' 'The waters of the bay were teeming with fish.' 'The road was completely covered in mud.'",general,29,True,True,Abundance|Mass_motion
Rare blue lizards scurry among the rocks of Petra ; clumps of black lilies grow beside the King 's Highway ; the few oases teem with birds .,teem,Abounding_with,"A Location is filled or covered with the Theme. The Location is realized as the External Argument, and the Theme either as PP complement headed by with, in or of. NB: This frame does not include uses of adjectives like paved when they merely specify the Type of some location, as in ""paved and unpaved roads"". 'The waters of the bay teemed with fish.' 'The waters of the bay were teeming with fish.' 'The road was completely covered in mud.'",general,28,True,True,Abundance|Mass_motion
"The quake knocked The Well out for six hours , but when it came back up , it teemed with emotional first-hand reports .",teem,Abounding_with,"A Location is filled or covered with the Theme. The Location is realized as the External Argument, and the Theme either as PP complement headed by with, in or of. NB: This frame does not include uses of adjectives like paved when they merely specify the Type of some location, as in ""paved and unpaved roads"". 'The waters of the bay teemed with fish.' 'The waters of the bay were teeming with fish.' 'The road was completely covered in mud.'",general,24,True,True,Abundance|Mass_motion
Uncover the pan and continue cooking until all the moisture has evaporated ; the pan should also be sizzling again and the dumplings golden brown and crisp underneath .,sizzle,Absorb_heat,"An Entity (generally food) is exposed to a Heat_source whose Temperature may also be specified. Generally, the Entity undergoes some sort of change as a result of this process. 'Bacon was frying in the pan, and a great heap of eggs already lay steaming on a plate.' 'If it cooks at 400 for an hour, it 'll be nothing but a pile of ash!'",general,29,True,True,Make_noise|Sounds
"You 're going to a friend 's for a barbecue on a hot summer 's evening , and you 're walking up the drive and you can smell the barbecue sizzling away .",sizzle,Absorb_heat,"An Entity (generally food) is exposed to a Heat_source whose Temperature may also be specified. Generally, the Entity undergoes some sort of change as a result of this process. 'Bacon was frying in the pan, and a great heap of eggs already lay steaming on a plate.' 'If it cooks at 400 for an hour, it 'll be nothing but a pile of ash!'",daily_life,33,True,True,Make_noise|Sounds
"Inside was a lighted wick ; as the metal dish warmed up , the nicotine began to sizzle and give off fumes lethal to red spider mite and aphids .",sizzle,Absorb_heat,"An Entity (generally food) is exposed to a Heat_source whose Temperature may also be specified. Generally, the Entity undergoes some sort of change as a result of this process. 'Bacon was frying in the pan, and a great heap of eggs already lay steaming on a plate.' 'If it cooks at 400 for an hour, it 'll be nothing but a pile of ash!'",news_politics,30,True,True,Make_noise|Sounds
A fire was burning in a black grate which had an oven to the side of it ; a large black kettle was sizzling on the hob .,sizzle,Absorb_heat,"An Entity (generally food) is exposed to a Heat_source whose Temperature may also be specified. Generally, the Entity undergoes some sort of change as a result of this process. 'Bacon was frying in the pan, and a great heap of eggs already lay steaming on a plate.' 'If it cooks at 400 for an hour, it 'll be nothing but a pile of ash!'",general,28,True,True,Make_noise|Sounds
"THE only surprise in the history of interferon is its meteoric rise to fame as a cancer cure , after its earlier promise as an anti-viral agent .",agent,Active_substance,A Substance causes an Effect. The Substance is produced by a process understood as directed towards the Effect. The Name for the material that makes up the substance may also be given. 'A rationale for using denatured gp160 as a therapeutic agent in HIV-infected people is to boost the immune response .' 'The quinolones now seem to be the antimicrobial agents of choice for acute bacterial prostatitis.' 'Hormonally active chemicals have the potential to cause significant environmental injury.' 'Only after the potion has been drunk does the active ingredient form. DNI' 'The sarin agent might have been a leftover shell from a chemical-arms dump. ',general,28,True,True,Intentionally_act|People_by_vocation
He conceded that high levels of pollution could have affected the dolphin 's defence mechanisms making them vulnerable to attack by an infectious agent .,agent,Active_substance,A Substance causes an Effect. The Substance is produced by a process understood as directed towards the Effect. The Name for the material that makes up the substance may also be given. 'A rationale for using denatured gp160 as a therapeutic agent in HIV-infected people is to boost the immune response .' 'The quinolones now seem to be the antimicrobial agents of choice for acute bacterial prostatitis.' 'Hormonally active chemicals have the potential to cause significant environmental injury.' 'Only after the potion has been drunk does the active ingredient form. DNI' 'The sarin agent might have been a leftover shell from a chemical-arms dump. ',general,25,True,True,Intentionally_act|People_by_vocation
"Very recently it has been shown that treating prediabetic mice ( that is , before they develop symptoms ) with various chemical agents , including insulin , will prevent diabetes from developing .",agent,Active_substance,A Substance causes an Effect. The Substance is produced by a process understood as directed towards the Effect. The Name for the material that makes up the substance may also be given. 'A rationale for using denatured gp160 as a therapeutic agent in HIV-infected people is to boost the immune response .' 'The quinolones now seem to be the antimicrobial agents of choice for acute bacterial prostatitis.' 'Hormonally active chemicals have the potential to cause significant environmental injury.' 'Only after the potion has been drunk does the active ingredient form. DNI' 'The sarin agent might have been a leftover shell from a chemical-arms dump. ',science_medical,33,True,True,Intentionally_act|People_by_vocation
"Those patients at most risk when undergoing ERCP are the elderly , and previous workers have shown that age is a predisposing factor to hypoxia during ERCP when narcotic agents are used in conjunction with benzodiazepine sedation .",agent,Active_substance,A Substance causes an Effect. The Substance is produced by a process understood as directed towards the Effect. The Name for the material that makes up the substance may also be given. 'A rationale for using denatured gp160 as a therapeutic agent in HIV-infected people is to boost the immune response .' 'The quinolones now seem to be the antimicrobial agents of choice for acute bacterial prostatitis.' 'Hormonally active chemicals have the potential to cause significant environmental injury.' 'Only after the potion has been drunk does the active ingredient form. DNI' 'The sarin agent might have been a leftover shell from a chemical-arms dump. ',science_medical,38,True,True,Intentionally_act|People_by_vocation
"Britain and America are worried enough to have produced enough serum to immunise their troops against anthrax , one of the biological agents he is most likely to have .",agent,Active_substance,A Substance causes an Effect. The Substance is produced by a process understood as directed towards the Effect. The Name for the material that makes up the substance may also be given. 'A rationale for using denatured gp160 as a therapeutic agent in HIV-infected people is to boost the immune response .' 'The quinolones now seem to be the antimicrobial agents of choice for acute bacterial prostatitis.' 'Hormonally active chemicals have the potential to cause significant environmental injury.' 'Only after the potion has been drunk does the active ingredient form. DNI' 'The sarin agent might have been a leftover shell from a chemical-arms dump. ',general,30,True,True,Intentionally_act|People_by_vocation
"John Surtees kept the British flag flying in 1964 , before Clark won his second title a year later .",keep,Activity_ongoing,"An Agent is performing the portion of an Activity in which there is dynamic stability. '' 'Not noticing the hoards of people rushing by the window, Manny continued eating his lunch.' 'Keep living the dream!'",general,20,True,True,Cause_to_continue|Compliance|Retaining|Storing
"He kept thinking of the girl in Mu Chua 's House of the Ninth Ecstasy ; the singsong girl , White Orchid , who had looked so much like Vesa .",keep,Activity_ongoing,"An Agent is performing the portion of an Activity in which there is dynamic stability. '' 'Not noticing the hoards of people rushing by the window, Manny continued eating his lunch.' 'Keep living the dream!'",general,31,True,True,Cause_to_continue|Compliance|Retaining|Storing
We will start in our first parliamentary session with a Freedom of Information Act which will open up government to the people .,start,Activity_start,"An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved. '' 'At the same time, city-states began to grow in influence on the southern Greek mainland.' 'Naturally, I started crying to get out of work.'",news_politics,23,True,True,Catching_fire|Process_start|Temporal_subregion
Follow-up testing has been started with a questionnaire being sent to past course delegates to check their continued understanding of food safety requirements .,start,Activity_start,"An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved. '' 'At the same time, city-states began to grow in influence on the southern Greek mainland.' 'Naturally, I started crying to get out of work.'",daily_life,24,True,True,Catching_fire|Process_start|Temporal_subregion
"After all , I 'd only just stopped doing my paper-round and I heard them talking about headlong stuff I never knew about before : abortions , heroin , Sylvia Plath , prostitution .",stop,Activity_stop,"An Agent ceases an Activity without completing it. '' 'After the lawsuit, the company stopped producing the once very profitable toy.' 'The rugby club terminated negotiations with Argyll in September 1988.'",general,34,True,True,Halt|Preventing_or_letting|Process_stop|Thwarting
"To take one example , if Britain stopped burning fossil fuels altogether , the world 's output of carbon dioxide -- some 6 billion tonnes a year -- would fall by only 160 m tonnes .",stop,Activity_stop,"An Agent ceases an Activity without completing it. '' 'After the lawsuit, the company stopped producing the once very profitable toy.' 'The rugby club terminated negotiations with Argyll in September 1988.'",daily_life,36,True,True,Halt|Preventing_or_letting|Process_stop|Thwarting
The Office has stopped subsidising one-day energy surveys for industry and commerce and there is little accessible public information .,stop,Activity_stop,"An Agent ceases an Activity without completing it. '' 'After the lawsuit, the company stopped producing the once very profitable toy.' 'The rugby club terminated negotiations with Argyll in September 1988.'",business,20,True,True,Halt|Preventing_or_letting|Process_stop|Thwarting
