model,model_type,condition,sentence,lexical_unit,gold_frame,prediction,correct,error_type
flan_t5_small,small_instruction_model,zero_shot,"Jamie Hill , prosecuting , said Stevenson and a friend took a Nova car from North Skelton and abandoned it in Nottingham .",abandon,Abandonment,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"She had seen no reason to abandon it when she came to Medewich two years ago , even though she might now have been able to afford a car .",abandon,Abandonment,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Leeds Education Authority has abandoned plans for ` drastic "" cuts in travel subsidies for some Catholic students .",abandon,Abandonment,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,It was Osman 's father Mohamed who had returned in his car for the clothes for Mrs Zamzam 's children just before Um Al-Farajh was finally abandoned by the Palestinian Arabs in 1948 .,abandon,Abandonment,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Lola is waiting loyally , if not faithfully , for the lover , Michel ( Jacques Harden ) , who fathered her child and abandoned her seven years before .",abandon,Abandonment,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"A pistol was found in a garden at Ava Parade , off Ormeau Road , by police searching the area yesterday after a car was abandoned by two men .",abandon,Abandonment,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"This is a modern version of the Elizabethan ` City "" comedy , a panorama of town life , teeming with villains , mugs , lechers and madmen .",teem,Abounding_with,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Morton drifted into the grand salon , which was teeming with people .",teem,Abounding_with,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,Rare blue lizards scurry among the rocks of Petra ; clumps of black lilies grow beside the King 's Highway ; the few oases teem with birds .,teem,Abounding_with,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"If the Universe is teeming with technological civilizations , why have they not come to visit us ?",teem,Abounding_with,UNKNOWN,False,unknown_prediction
flan_t5_small,small_instruction_model,zero_shot,"Until the 1940s , its beaches teemed with wildlife .",teem,Abounding_with,UNKNOWN,False,unknown_prediction
